Model,F1 Score,Precision,Recall,Inference Time (ms),Number of Parameters (M)
Logistic Regression,0.9619984264358773,0.9633126934984519,0.9620253164556962,59.35052980350543,0.012288
SVM,0.9456893868658576,0.9497924891183319,0.9451476793248945,15.0751624932269,0.012288
MLP,0.9663380844815445,0.9672614508667582,0.9662447257383966,36.499936872393775,0.532672
Random Forest,0.9664113516639794,0.9676434676434676,0.9662447257383966,13.736300327606845,0.4096
KNN,0.9535758458051496,0.9540252297926044,0.9535864978902954,0.02088023640435456,0.0
